episode,episode_length,episode_reward,frame,step,total_time
226.0,39.4,3.6296495090387095,10007,10007.0,136.2149360179901
470.0,64.3,15.775961131849575,20018,20018.0,488.7153959274292
538.0,233.1,41.161131827599476,30321,30321.0,863.0731055736542
643.0,157.2,26.840010321123565,40050,40050.0,1245.1278803348541
699.0,359.0,48.9779824791581,50234,50234.0,1630.9482128620148
743.0,68.5,11.322882141367732,60819,60819.0,2060.210696220398
789.0,277.9,53.132611791093765,70645,70645.0,2416.4253249168396
857.0,469.3,111.05884467506571,80055,80055.0,2791.569514274597
889.0,137.9,33.03313725370428,90014,90014.0,3214.0326883792877
927.0,387.7,76.66493273811051,100041,100041.0,3589.0348060131073
981.0,256.0,51.28245597188244,110076,110076.0,4009.1026751995087
1031.0,354.1,98.04686892171118,120346,120346.0,4404.5112388134
1107.0,305.9,83.15209232329661,130071,130071.0,4803.23997592926
1157.0,79.0,19.79931482044851,140008,140008.0,5196.145386219025
1229.0,546.9,147.88003510323713,150072,150072.0,5562.916391372681
1273.0,456.8,133.72433710426952,160053,160053.0,5993.622644662857
1329.0,625.8,167.15145166910085,170594,170594.0,6434.410592079163
1353.0,633.9,189.1676830707214,180120,180120.0,6856.100361824036
1381.0,730.5,213.542645984987,190070,190070.0,7298.514513254166
1405.0,440.9,127.63879546530632,200421,200421.0,7770.825549125671
1444.0,542.2,158.71845463070548,210705,210705.0,8196.447006464005
1468.0,447.1,133.8872635059075,220733,220733.0,8624.750488996506
1487.0,362.0,107.11837540742181,230262,230262.0,9025.216792345047
1512.0,358.3,103.80607505431976,240264,240264.0,9432.383388996124
1526.0,246.0,72.99076768276493,250865,250865.0,9862.498215913773
1543.0,639.0,178.87426036503498,260916,260916.0,10260.786974906921
1569.0,354.5,101.92661109965786,270524,270524.0,10690.188179016113
1594.0,75.1,17.961994084250897,280394,280394.0,11085.98276090622
1623.0,367.3,103.73148070665863,290822,290822.0,11459.349595069885
1643.0,529.5,158.49954317678095,300268,300268.0,11842.82091474533
1661.0,910.2,270.0272547868136,310996,310996.0,12294.540001869202
1676.0,396.8,120.89224341379395,320338,320338.0,12751.2654774189
1694.0,379.8,112.47085925748993,330317,330317.0,13161.852907896042
1708.0,689.1,188.8026517926926,340698,340698.0,13586.931678295135
1721.0,701.5,213.68894708528288,350863,350863.0,14057.784300327301
1739.0,359.3,107.12840707071307,360464,360464.0,14492.310087680817
1755.0,816.4,240.29646631859842,370054,370054.0,14881.728175401688
1772.0,465.3,138.60281470706394,380422,380422.0,15368.717624902725
1794.0,736.0,225.51751265724994,390331,390331.0,15778.740698814392
1807.0,628.0,180.8081256847559,400039,400039.0,16224.46480345726
1825.0,730.0,210.2720003876605,410121,410121.0,16668.593403577805
1840.0,716.5,202.14992380681076,420771,420771.0,17151.886951446533
1858.0,263.4,77.28494927433609,430248,430248.0,17590.041334867477
1875.0,669.5,202.11808211308846,440213,440213.0,17978.674180030823
1891.0,723.1,219.86810329467517,450036,450036.0,18425.266404390335
1915.0,476.5,143.08009419580264,460801,460801.0,18909.63371706009
1934.0,813.8,241.3245428104549,470565,470565.0,19322.04216837883
1947.0,544.0,163.31105019181217,480070,480070.0,19777.211718559265
1959.0,536.3,164.8451439775633,490399,490399.0,20222.691941976547
1981.0,580.2,176.62902608997263,500022,500022.0,20644.4941778183
2006.0,333.6,97.74555604745508,510078,510078.0,21086.567974328995
2020.0,816.8,245.78666339614875,520806,520806.0,21509.94251680374
2036.0,814.8,245.4457566226059,530736,530736.0,21978.97777414322
2049.0,587.7,186.68044074333167,540150,540150.0,22428.939801692963
2066.0,723.4,196.09107853759085,550127,550127.0,22872.851548194885
2081.0,876.0,265.8767016707041,560111,560111.0,23332.18220448494
